rgb_band_max_R
rgb_band_max_G
rgb_band_max_B
rgb_band_min_R
rgb_band_min_G
rgb_band_min_B
rgb_band_mean_R
rgb_band_mean_G
rgb_band_mean_B
rgb_band_std_R
rgb_band_std_G
rgb_band_std_B
rgb_band_median_R
rgb_band_median_G
rgb_band_median_B
rgb_band_cov_R
rgb_band_cov_G
rgb_band_cov_B
rgb_band_skew_R
rgb_band_skew_G
rgb_band_skew_B
rgb_band_kurt_R
rgb_band_kurt_G
rgb_band_kurt_B
rgb_band_sum_R
rgb_band_sum_G
rgb_band_sum_B
rgb_band_rng_R
rgb_band_rng_G
rgb_band_rng_B
rgb_band_rngsig_R
rgb_band_rngsig_G
rgb_band_rngsig_B
rgb_band_rngmean_R
rgb_band_rngmean_G
rgb_band_rngmean_B
rgb_band_decile_R_1
rgb_band_decile_R_2
rgb_band_decile_R_3
rgb_band_decile_R_4
rgb_band_decile_R_5
rgb_band_decile_R_6
rgb_band_decile_R_7
rgb_band_decile_R_8
rgb_band_decile_R_9
rgb_band_decile_G_1
rgb_band_decile_G_2
rgb_band_decile_G_3
rgb_band_decile_G_4
rgb_band_decile_G_5
rgb_band_decile_G_6
rgb_band_decile_G_7
rgb_band_decile_G_8
rgb_band_decile_G_9
rgb_band_decile_B_1
rgb_band_decile_B_2
rgb_band_decile_B_3
rgb_band_decile_B_4
rgb_band_decile_B_5
rgb_band_decile_B_6
rgb_band_decile_B_7
rgb_band_decile_B_8
rgb_band_decile_B_9
rgb_band_quartile_R_1
rgb_band_quartile_R_3
rgb_band_quartile_G_1
rgb_band_quartile_G_3
rgb_band_quartile_B_1
rgb_band_quartile_B_3
rgb_band_iqr_R
rgb_band_iqr_G
rgb_band_iqr_B
rgb_band_iqrsig_R
rgb_band_iqrsig_G
rgb_band_iqrsig_B
rgb_band_iqrmean_R
rgb_band_iqrmean_G
rgb_band_iqrmean_B
rgb_band_ratio_R
rgb_band_ratio_G
rgb_band_ratio_B
top_rgb_max_R
top_rgb_max_G
top_rgb_max_B
top_rgb_min_R
top_rgb_min_G
top_rgb_min_B
top_rgb_mean_R
top_rgb_mean_G
top_rgb_mean_B
top_rgb_std_R
top_rgb_std_G
top_rgb_std_B
top_rgb_median_R
top_rgb_median_G
top_rgb_median_B
top_rgb_cov_R
top_rgb_cov_G
top_rgb_cov_B
top_rgb_skew_R
top_rgb_skew_G
top_rgb_skew_B
top_rgb_kurt_R
top_rgb_kurt_G
top_rgb_kurt_B
top_rgb_sum_R
top_rgb_sum_G
top_rgb_sum_B
top_rgb_rng_R
top_rgb_rng_G
top_rgb_rng_B
top_rgb_rngsig_R
top_rgb_rngsig_G
top_rgb_rngsig_B
top_rgb_rngmean_R
top_rgb_rngmean_G
top_rgb_rngmean_B
top_rgb_decile_R_1
top_rgb_decile_R_2
top_rgb_decile_R_3
top_rgb_decile_R_4
top_rgb_decile_R_5
top_rgb_decile_R_6
top_rgb_decile_R_7
top_rgb_decile_R_8
top_rgb_decile_R_9
top_rgb_decile_G_1
top_rgb_decile_G_2
top_rgb_decile_G_3
top_rgb_decile_G_4
top_rgb_decile_G_5
top_rgb_decile_G_6
top_rgb_decile_G_7
top_rgb_decile_G_8
top_rgb_decile_G_9
top_rgb_decile_B_1
top_rgb_decile_B_2
top_rgb_decile_B_3
top_rgb_decile_B_4
top_rgb_decile_B_5
top_rgb_decile_B_6
top_rgb_decile_B_7
top_rgb_decile_B_8
top_rgb_decile_B_9
top_rgb_quartile_R_1
top_rgb_quartile_R_3
top_rgb_quartile_G_1
top_rgb_quartile_G_3
top_rgb_quartile_B_1
top_rgb_quartile_B_3
top_rgb_iqr_R
top_rgb_iqr_G
top_rgb_iqr_B
top_rgb_iqrsig_R
top_rgb_iqrsig_G
top_rgb_iqrsig_B
top_rgb_iqrmean_R
top_rgb_iqrmean_G
top_rgb_iqrmean_B
top_rgb_ratio_R
top_rgb_ratio_G
top_rgb_ratio_B
rgb_ind_max_GRVI
rgb_ind_max_VARI
rgb_ind_max_GLIr
rgb_ind_max_GLIg
rgb_ind_max_GLIb
rgb_ind_max_ExG
rgb_ind_max_ExR
rgb_ind_max_ExB
rgb_ind_max_ExGveg
rgb_ind_max_NegExR
rgb_ind_max_ExRveg
rgb_ind_max_ExBveg
rgb_ind_max_TGI
rgb_ind_max_mGRVI
rgb_ind_max_RGBVI
rgb_ind_max_IKAW
rgb_ind_min_GRVI
rgb_ind_min_VARI
rgb_ind_min_GLIr
rgb_ind_min_GLIg
rgb_ind_min_GLIb
rgb_ind_min_ExG
rgb_ind_min_ExR
rgb_ind_min_ExB
rgb_ind_min_ExGveg
rgb_ind_min_NegExR
rgb_ind_min_ExRveg
rgb_ind_min_ExBveg
rgb_ind_min_TGI
rgb_ind_min_mGRVI
rgb_ind_min_RGBVI
